Season,TeamName,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM
2017,"Abilene Christian",67.8394,257,65.8215,284,98.142,282,96.9755,306,105.174,210,108.838,252,-11.8628,298
2017,"Air Force",68.9391,211,67.0541,232,102.559,183,104.304,175,108.637,285,109.519,270,-5.21514,222
2017,Akron,68.1375,247,66.259,266,112.195,27,112.551,47,105.069,206,106.447,209,6.10376,100
2017,Alabama,67.3984,274,65.148,302,100.248,239,105.333,152,94.7225,16,92.2497,10,13.083,56
2017,"Alabama A&M",65.7056,315,64.3437,316,93.0062,338,91.4299,342,117.049,350,121.767,350,-30.3375,351
2017,"Alabama St.",69.452,180,68.4297,164,93.1581,335,91.1042,345,106.208,230,112.755,316,-21.6507,342
2017,Albany,64.7768,334,64.2395,320,108.666,69,107.534,116,102.102,138,104.87,180,2.66396,129
2017,"Alcorn St.",68.6334,225,67.7649,201,98.2934,279,95.4617,321,99.9804,75,105.965,198,-10.5036,285
2017,American,65.1501,327,64.3206,318,94.1691,328,95.1615,325,104.676,197,108.101,240,-12.9397,307
2017,"Appalachian St.",71.4327,77,70.4823,62,98.3696,277,99.5494,268,108.141,269,109.156,260,-9.60691,274
2017,Arizona,67.197,280,66.0199,277,113.67,18,118.388,15,98.2449,48,95.0812,29,23.3068,18
2017,"Arizona St.",72.4749,47,70.0297,79,107.536,89,111.869,55,112.335,332,109.062,257,2.80605,126
2017,Arkansas,71.5875,70,69.7479,87,110.631,44,116.061,28,103.368,168,99.8135,76,16.2479,35
2017,"Arkansas Pine Bluff",68.7178,221,67.6182,209,87.7185,350,85.6744,351,105.688,221,110.952,300,-25.2771,348
2017,"Arkansas St.",68.5638,228,67.2993,217,105.362,135,106.336,138,101.011,112,103.344,146,2.99177,124
2017,Army,71.9306,59,71.3532,38,98.9956,267,98.6341,281,100.889,107,104.676,175,-6.04192,230
2017,Auburn,75.2285,11,73.5806,10,106.061,118,111.87,54,105.17,208,103.348,147,8.522,82
2017,"Austin Peay",71.604,69,70.0157,80,105.32,138,106.188,140,117.643,351,117.266,342,-11.0776,289
2017,"Ball St.",72.8639,37,71.067,50,105.73,126,104.712,164,102.953,159,105.333,188,-0.620889,180
2017,Baylor,65.0831,329,63.6964,328,110.614,45,117.115,23,98.4352,51,92.8864,16,24.2282,13
2017,Belmont,68.9243,212,68.0219,188,109.863,51,110.827,65,101.334,120,102.662,125,8.16518,83
2017,"Bethune Cookman",69.7597,162,68.2832,177,98.5587,274,94.9937,328,109.999,311,115.439,335,-20.4453,340
2017,Binghamton,66.7737,293,65.9163,279,97.2953,296,96.285,314,106.799,241,110.05,282,-13.7652,314
2017,"Boise St.",70.4101,121,69.5229,97,106.2,113,109.189,85,102.304,143,102.186,112,7.00352,94
2017,"Boston College",72.5059,45,71.1493,46,100.055,243,103.893,186,108.431,277,104.166,163,-0.272907,173
2017,"Boston University",69.9055,153,69.6299,94,102.176,195,101.716,226,100.267,87,103.395,149,-1.67836,192
2017,"Bowling Green",72.3999,49,69.9892,82,99.8749,248,100.063,257,105.822,222,107.224,220,-7.16148,249
2017,Bradley,68.4446,233,67.6633,205,95.1309,325,98.43,283,103.569,172,102.722,130,-4.29179,217
2017,Brown,71.8143,63,71.2586,42,104.094,161,104.13,180,110.713,323,113.965,325,-9.83516,277
2017,Bryant,69.994,146,69.1281,110,102.465,189,101.721,225,108.175,270,111.993,307,-10.2723,281
2017,Bucknell,70.5939,111,69.9505,83,108.157,79,109.713,78,96.5316,32,100.329,83,9.38403,76
2017,Buffalo,73.3066,32,71.3738,37,104.83,144,105.331,153,101.969,133,102.19,114,3.14084,122
