"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM","seed"
2019,"Abilene Christian",66.5681,293,66.0723,254,107.102,87,103.756,186,96.7466,43,101.654,119,2.10207,145,"15"
2019,"Air Force",67.2794,269,66.4715,234,98.7687,274,100.558,250,105.682,242,107.397,238,-6.83837,241,""
2019,"Akron",68.4518,207,66.0782,252,99.4248,264,99.9094,257,94.0099,11,93.8246,21,6.08479,107,""
2019,"Alabama",69.8652,124,68.7086,115,102.478,185,108.188,101,102.222,155,96.7623,49,11.4254,60,""
2019,"Alabama A&M",67.56,253,65.5578,282,88.7657,347,86.6081,350,104.862,219,109.256,265,-22.648,344,""
2019,"Alabama St.",68.4214,210,67.1282,198,95.3075,322,94.7211,325,106.197,250,111.082,304,-16.3612,329,""
2019,"Albany",66.3119,301,65.8025,268,99.2601,267,98.2938,282,103.216,176,108.159,249,-9.86471,277,""
2019,"Alcorn St.",67.402,260,65.6778,277,89.3041,346,88.9071,348,108.22,288,113.548,332,-24.6414,349,""
2019,"American",67.6929,247,66.4813,233,104.592,141,101.908,223,100.136,105,105.041,186,-3.13245,198,""
2019,"Appalachian St.",73.1875,27,71.5042,27,104.692,138,106.041,141,110.231,315,109.644,273,-3.60281,205,""
2019,"Arizona",68.596,198,66.6339,224,102.398,188,105.051,157,99.8089,97,98.2265,70,6.8244,99,""
2019,"Arizona St.",72.1332,45,70.56,46,106.426,102,109.886,68,99.8027,96,98.6844,79,11.2014,61,"11"
2019,"Arkansas",71.8421,49,70.2666,55,103.964,152,109.646,71,100.348,111,97.3095,60,12.3363,57,""
2019,"Arkansas Pine Bluff",66.8726,283,65.1325,299,95.9426,317,96.1897,312,104.658,209,109.844,277,-13.6546,316,""
2019,"Arkansas St.",69.7385,131,68.2095,139,101.692,211,102.365,209,110.33,316,110.041,284,-7.67632,254,""
2019,"Army",71.4085,64,69.6626,76,98.5619,276,96.2368,311,102.098,153,103.092,149,-6.85548,242,""
2019,"Auburn",68.868,181,67.5646,170,113.394,14,119.283,8,99.3776,83,97.1706,56,22.112,15,"5"
2019,"Austin Peay",71.1601,73,68.9237,105,111.649,28,110.741,54,104.526,205,106.845,226,3.89555,135,""
2019,"Ball St.",71.5499,60,70.2177,58,102.058,202,102.409,208,98.9674,72,98.3372,74,4.07198,134,""
2019,"Baylor",66.6446,289,65.3193,291,107.248,83,113.646,28,100.481,114,98.3427,75,15.3036,41,"9"
2019,"Belmont",74.2457,13,71.1915,31,116.393,6,114.952,20,99.6691,91,101.886,126,13.0657,54,"11"
2019,"Bethune Cookman",73.5537,21,72.1395,19,97.205,302,93.4135,332,100.173,108,105.536,199,-12.123,306,""
