"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2020","Abilene Christian",67.0838,300,67.7969,253,94.1937,244,93.5047,294,104.039,250,103.207,252,-9.70204,283
"2020","Air Force",67.2806,292,68.3867,229,106.166,70,103.267,101,106.439,285,105.162,300,-1.89468,186
"2020","Akron",73.675,52,73.4143,39,101.704,130,100.602,157,85.7365,25,93.4224,61,7.17994,96
"2020","Alabama",78.9821,6,77.2833,5,101.28,142,104.654,73,99.8795,187,95.4066,89,9.24785,82
"2020","Alabama A&M",71.5375,116,69.6775,170,85.8252,325,86.0451,348,115.378,338,109.392,343,-23.3465,347
"2020","Alabama St.",71.025,135,70.8877,120,79.6402,345,88.4263,337,105.168,267,102.63,240,-14.2039,322
"2020","Albany",68.5969,235,68.355,230,96.3693,221,97.3062,224,95.7433,122,99.9088,171,-2.6026,205
"2020","Alcorn St.",74.3914,37,73.0365,50,78.5795,348,88.4062,338,105.145,265,103.999,271,-15.5933,330
"2020","American",70.9,141,70.5091,131,106.468,69,100.76,154,104.31,255,103.848,266,-3.08866,208
"2020","Appalachian St.",69.0696,219,69.4647,188,90.8394,292,96.3102,245,89.5942,57,97.2206,116,-0.910396,171
"2020","Arizona",73.1542,58,71.8529,81,118.91,2,111.872,8,88.5949,50,92.0122,51,19.8598,19
"2020","Arizona St.",73.9339,44,73.0731,49,98.9886,178,103.737,94,84.0313,12,92.3029,53,11.434,67
"2020","Arkansas",70.9061,139,70.21,146,100.247,157,104.527,76,73.6612,2,87.3021,10,17.2253,28
"2020","Arkansas Pine Bluff",68.6083,234,69.6543,172,69.2765,353,84.7673,351,108.017,294,103.262,254,-18.4946,341
"2020","Arkansas St.",69.5536,199,68.5518,222,101.715,129,97.7814,210,100.52,198,104.977,293,-7.19561,260
"2020","Army",71.935,98,73.3101,41,93.0949,265,94.4622,281,101.732,224,101.542,208,-7.07966,257
"2020","Auburn",72.9938,60,71.522,91,114.54,11,110.407,19,91.9651,71,90.0353,28,20.372,14
"2020","Austin Peay",69.6333,196,69.0077,199,106.9,63,103.38,98,109.23,305,105.815,310,-2.43438,203
"2020","Ball St.",68.4357,245,67.1775,275,102.813,114,98.3316,201,93.4713,91,96.1385,102,2.19306,134
"2020","Baylor",70.5304,155,68.6605,219,113.78,15,111.603,11,88.7592,51,90.4449,33,21.1582,11
"2020","Belmont",73.8444,48,71.8737,79,107.728,52,106.618,50,94.237,98,97.5467,119,9.07103,86
"2020","Bethune Cookman",71.0208,136,71.3332,100,91.327,286,93.8211,290,100.807,204,103.663,262,-9.84208,285
"2020","Binghamton",69.5203,200,68.4953,224,99.8441,162,96.7018,233,114.885,335,108.739,338,-12.0369,307
"2020","Boise St.",69.1082,216,69.6892,168,100.827,146,103.538,95,103.254,246,98.2032,129,5.33499,110
"2020","Boston College",72.6875,70,71.9346,78,90.8593,291,96.5229,239,93.8895,95,95.708,95,0.814909,146
"2020","Boston University",68.3359,250,68.016,243,93.3308,259,97.2266,225,102.798,236,102.34,229,-5.1133,227
